image,mode,gt,size,anchor,x,y,stride,inside_gt,inside_fixed,before_conflict,after_conflict,iou,rank_ciou,class_score,alignment,target_weight
images/train/0000084_01436_d_0000004.jpg,adaptive,3,small,3904,36.0,316.0,8.0,1,1,1,1,0.8559267520904541,0.8540342450141907,0.052707523107528687,0.08908160030841827,0.19005733728408813
images/train/0000084_01436_d_0000004.jpg,adaptive,3,small,4002,20.0,324.0,8.0,0,0,1,1,0.763379693031311,0.7607421278953552,0.0628935918211937,0.04861026629805565,0.10371095687150955
images/train/0000084_01436_d_0000004.jpg,adaptive,3,small,4003,28.0,324.0,8.0,1,1,1,1,0.9018229246139526,0.9016246795654297,0.6187979578971863,0.4225996732711792,0.9016246795654297
images/train/0000084_01436_d_0000004.jpg,adaptive,3,small,4004,36.0,324.0,8.0,1,1,1,1,0.8052914142608643,0.8043741583824158,0.40611857175827026,0.17261363565921783,0.36827459931373596
images/train/0000084_01436_d_0000004.jpg,adaptive,3,small,4102,20.0,332.0,8.0,0,0,1,1,0.7479256391525269,0.7455402612686157,0.09928090125322342,0.054107747972011566,0.11543994396924973
images/train/0000084_01436_d_0000004.jpg,adaptive,3,small,4103,28.0,332.0,8.0,1,1,1,1,0.8311692476272583,0.8304981589317322,0.6949105858802795,0.2735247015953064,0.5835703015327454
images/train/0000084_01436_d_0000004.jpg,adaptive,3,small,4104,36.0,332.0,8.0,1,1,1,1,0.8988576531410217,0.8988390564918518,0.4687768518924713,0.3610560894012451,0.7703202366828918
images/train/0000084_01436_d_0000004.jpg,adaptive,3,small,4203,28.0,340.0,8.0,1,1,1,1,0.7153722643852234,0.7125961184501648,0.5307034850120544,0.09538644552230835,0.20350885391235352
images/train/0000084_01436_d_0000004.jpg,adaptive,3,small,4204,36.0,340.0,8.0,1,1,1,1,0.8560923933982849,0.8554168939590454,0.40353378653526306,0.24888968467712402,0.5310109853744507
images/train/0000084_01436_d_0000004.jpg,adaptive,3,small,4303,28.0,348.0,8.0,1,1,1,1,0.6832964420318604,0.6795095205307007,0.29568371176719666,0.05352873355150223,0.11420460045337677
images/train/0000084_01436_d_0000004.jpg,adaptive,3,small,4304,36.0,348.0,8.0,1,1,1,1,0.8756958246231079,0.8753765225410461,0.21918697655200958,0.21065741777420044,0.44944173097610474
images/train/0000084_01436_d_0000004.jpg,adaptive,3,small,11001,24.0,328.0,16.0,1,1,1,1,0.7984497547149658,0.7973819375038147,0.5489049553871155,0.19043508172035217,0.406296968460083
images/train/0000084_01436_d_0000004.jpg,adaptive,3,small,11051,24.0,344.0,16.0,1,1,1,1,0.7685469388961792,0.7669387459754944,0.5349097847938538,0.14883475005626678,0.31754183769226074
images/train/0000084_01436_d_0000004.jpg,adaptive,11,small,3857,460.0,308.0,8.0,1,1,1,1,0.7500303387641907,0.746014416217804,0.015253325924277306,0.021289506927132607,0.40104609727859497
images/train/0000084_01436_d_0000004.jpg,adaptive,11,small,3957,460.0,316.0,8.0,1,1,1,1,0.7187175154685974,0.716873288154602,0.0851389542222023,0.039602130651474,0.746014416217804
images/train/0000084_01436_d_0000004.jpg,adaptive,11,small,3958,468.0,316.0,8.0,1,1,1,1,0.6957607269287109,0.6947497725486755,0.0211727824062109,0.01636286824941635,0.3082393705844879
images/train/0000084_01436_d_0000004.jpg,adaptive,11,small,4057,460.0,324.0,8.0,1,1,1,1,0.6062417030334473,0.6010908484458923,0.4836277365684509,0.03280169516801834,0.6179096102714539
images/train/0000084_01436_d_0000004.jpg,adaptive,11,small,4058,468.0,324.0,8.0,1,1,1,1,0.6427997350692749,0.6408489942550659,0.19909727573394775,0.03090771660208702,0.582231342792511
images/train/0000084_01436_d_0000004.jpg,adaptive,11,small,4157,460.0,332.0,8.0,1,1,1,1,0.4971589148044586,0.485889732837677,0.25177398324012756,0.006602854933589697,0.12438283115625381
images/train/0000084_01436_d_0000004.jpg,adaptive,11,small,4158,468.0,332.0,8.0,1,1,1,1,0.5413205623626709,0.5381269454956055,0.36505958437919617,0.014672033488750458,0.27638787031173706
images/train/0000084_01436_d_0000004.jpg,adaptive,11,small,4258,468.0,340.0,8.0,1,1,1,1,0.4859962463378906,0.4789831042289734,0.2933499217033386,0.0065405480563640594,0.12320911139249802
images/train/0000084_01436_d_0000004.jpg,adaptive,11,small,10978,456.0,312.0,16.0,1,1,1,1,0.7449621558189392,0.7427411079406738,0.007333361543715,0.014377267099916935,0.27083513140678406
images/train/0000084_01436_d_0000004.jpg,adaptive,11,small,10979,472.0,312.0,16.0,0,0,1,1,0.7012510299682617,0.6997896432876587,0.010387823916971684,0.011969261802732944,0.22547376155853271
images/train/0000084_01436_d_0000004.jpg,adaptive,11,small,11028,456.0,328.0,16.0,1,1,1,1,0.5458084940910339,0.5381845831871033,0.38482579588890076,0.015073690563440323,0.2839541733264923
images/train/0000084_01436_d_0000004.jpg,adaptive,11,small,11029,472.0,328.0,16.0,0,0,1,1,0.5039235949516296,0.4962514340877533,0.15615345537662506,0.005901826545596123,0.11117703467607498
images/train/0000084_01436_d_0000004.jpg,adaptive,14,small,3669,556.0,292.0,8.0,0,0,1,1,0.6113967299461365,0.600627064704895,0.0008896755753085017,0.0014003778342157602,0.017306234687566757
images/train/0000084_01436_d_0000004.jpg,adaptive,14,small,3769,556.0,300.0,8.0,1,1,1,1,0.650844395160675,0.6456241011619568,0.09823043644428253,0.022698722779750824,0.28051677346229553
images/train/0000084_01436_d_0000004.jpg,adaptive,14,small,3770,564.0,300.0,8.0,1,1,1,1,0.6647359132766724,0.6603857278823853,0.22369669377803802,0.039229776710271835,0.48481184244155884
images/train/0000084_01436_d_0000004.jpg,adaptive,14,small,3869,556.0,308.0,8.0,1,1,1,1,0.6971625089645386,0.6918361783027649,0.27424317598342896,0.05742321535944939,0.7096511125564575
images/train/0000084_01436_d_0000004.jpg,adaptive,14,small,3870,564.0,308.0,8.0,1,1,1,1,0.6573740839958191,0.6540035009384155,0.4198523461818695,0.050702426582574844,0.626593828201294
images/train/0000084_01436_d_0000004.jpg,adaptive,14,small,3969,556.0,316.0,8.0,1,1,1,1,0.4564402997493744,0.44026872515678406,0.22727766633033752,0.0034720455296337605,0.0429084450006485
images/train/0000084_01436_d_0000004.jpg,adaptive,14,small,3970,564.0,316.0,8.0,1,1,1,1,0.660210907459259,0.6569710969924927,0.38853710889816284,0.050118010491132736,0.6193715333938599
images/train/0000084_01436_d_0000004.jpg,adaptive,14,small,4070,564.0,324.0,8.0,1,1,1,1,0.6594852805137634,0.6531739234924316,0.2224610149860382,0.03662688285112381,0.45264461636543274
images/train/0000084_01436_d_0000004.jpg,adaptive,14,small,4170,564.0,332.0,8.0,1,1,1,1,0.5957554578781128,0.5804885625839233,0.04655250161886215,0.008255312219262123,0.10202131420373917
images/train/0000084_01436_d_0000004.jpg,adaptive,14,small,10934,552.0,296.0,16.0,1,1,1,1,0.7371199131011963,0.7370733022689819,0.019923578947782516,0.02263329178094864,0.2797081470489502
images/train/0000084_01436_d_0000004.jpg,adaptive,14,small,10935,568.0,296.0,16.0,0,0,1,1,0.722985029220581,0.7207190990447998,0.02714521996676922,0.02309100702404976,0.28536471724510193
images/train/0000084_01436_d_0000004.jpg,adaptive,14,small,10985,568.0,312.0,16.0,0,0,1,1,0.697101354598999,0.6939389705657959,0.28526684641838074,0.05964215099811554,0.7370733022689819
images/train/0000084_01436_d_0000004.jpg,adaptive,14,small,11035,568.0,328.0,16.0,0,0,1,1,0.6355248689651489,0.6309834122657776,0.005820379126816988,0.004814856220036745,0.05950325354933739
images/train/0000084_01436_d_0000004.jpg,adaptive,16,small,3376,612.0,268.0,8.0,1,1,1,1,0.8649160861968994,0.8646687865257263,0.5735191106796265,0.3164992034435272,0.7086225152015686
images/train/0000084_01436_d_0000004.jpg,adaptive,16,small,3377,620.0,268.0,8.0,1,1,1,1,0.8521777391433716,0.8504472970962524,0.3542679250240326,0.2251906394958496,0.5041882395744324
images/train/0000084_01436_d_0000004.jpg,adaptive,16,small,3475,604.0,276.0,8.0,0,0,1,1,0.7810531258583069,0.7797343730926514,0.007290899287909269,0.019189808517694473,0.04296481981873512
images/train/0000084_01436_d_0000004.jpg,adaptive,16,small,3476,612.0,276.0,8.0,1,1,1,1,0.8864467740058899,0.8860987424850464,0.6342360973358154,0.38549450039863586,0.8630988597869873
images/train/0000084_01436_d_0000004.jpg,adaptive,16,small,3477,620.0,276.0,8.0,1,1,1,1,0.8758742213249207,0.87557053565979,0.5789745450019836,0.3428282141685486,0.7675716280937195
images/train/0000084_01436_d_0000004.jpg,adaptive,16,small,3575,604.0,284.0,8.0,0,0,1,1,0.7889396548271179,0.7871913909912109,0.007392184808850288,0.020458247512578964,0.04580477997660637
images/train/0000084_01436_d_0000004.jpg,adaptive,16,small,3576,612.0,284.0,8.0,1,1,1,1,0.8707268834114075,0.8704028129577637,0.5952184796333313,0.33547481894493103,0.7511077523231506
images/train/0000084_01436_d_0000004.jpg,adaptive,16,small,3577,620.0,284.0,8.0,1,1,1,1,0.90337073802948,0.9031863808631897,0.5522574186325073,0.40339919924736023,0.9031863808631897
images/train/0000084_01436_d_0000004.jpg,adaptive,16,small,3676,612.0,292.0,8.0,1,1,1,1,0.856985330581665,0.8566210865974426,0.606623113155365,0.3077457547187805,0.6890240907669067
images/train/0000084_01436_d_0000004.jpg,adaptive,16,small,3677,620.0,292.0,8.0,1,1,1,1,0.892486572265625,0.8922991156578064,0.5488891005516052,0.3739427328109741,0.8372350931167603
