image,gt,fixed_count,adaptive_count,delta_count,fixed_weight,adaptive_weight,delta_weight
images/train/0000080_00002_d_0000001.jpg,18,8,12,4,3.6781299114227295,4.19727897644043,0.5191490650177002
images/train/0000080_00002_d_0000001.jpg,19,10,13,3,3.9454169273376465,4.505710124969482,0.5602931976318359
images/train/0000080_00002_d_0000001.jpg,20,10,13,3,5.487054347991943,5.605003833770752,0.1179494857788086
images/train/0000080_00002_d_0000001.jpg,21,10,13,3,3.993788480758667,4.389490604400635,0.3957021236419678
images/train/0000080_00002_d_0000001.jpg,22,10,13,3,5.92731237411499,6.183030128479004,0.25571775436401367
images/train/0000080_00002_d_0000001.jpg,23,10,13,3,6.095441818237305,6.936853408813477,0.8414115905761719
images/train/0000080_00002_d_0000001.jpg,24,6,13,7,4.608652114868164,5.4322309494018555,0.8235788345336914
images/train/0000080_00002_d_0000001.jpg,25,8,13,5,3.400499105453491,3.897940158843994,0.49744105339050293
images/train/0000080_00002_d_0000001.jpg,26,5,11,6,3.7302393913269043,3.87542724609375,0.1451878547668457
images/train/0000080_00002_d_0000001.jpg,27,6,12,6,2.813169240951538,3.0007669925689697,0.18759775161743164
images/train/0000080_00002_d_0000001.jpg,28,7,13,6,3.190445899963379,3.353445291519165,0.16299939155578613
images/train/0000084_01436_d_0000004.jpg,3,10,13,3,4.7216477394104,5.0550031661987305,0.3333554267883301
images/train/0000084_01436_d_0000004.jpg,11,10,12,2,3.7342097759246826,4.070860862731934,0.336651086807251
images/train/0000084_01436_d_0000004.jpg,14,10,13,3,3.7463538646698,4.697474956512451,0.9511210918426514
images/train/0000084_01436_d_0000004.jpg,16,10,13,3,7.23032283782959,7.508782386779785,0.2784595489501953
images/train/0000084_01436_d_0000004.jpg,17,9,13,4,3.4316272735595703,3.5953407287597656,0.1637134552001953
images/train/0000084_01436_d_0000004.jpg,18,7,13,6,3.867687225341797,3.9986579418182373,0.13097071647644043
images/train/0000084_01436_d_0000004.jpg,19,5,13,8,0.9807403683662415,1.0455117225646973,0.06477135419845581
images/train/0000084_01436_d_0000004.jpg,20,10,13,3,6.955158233642578,7.184321403503418,0.22916316986083984
images/train/0000084_01436_d_0000004.jpg,21,6,13,7,2.5150585174560547,2.679011106491089,0.16395258903503418
images/train/0000084_01436_d_0000004.jpg,22,7,13,6,3.0247974395751953,3.408456325531006,0.38365888595581055
images/train/0000084_01436_d_0000004.jpg,23,0,3,3,0.0,0.3849366307258606,0.3849366307258606
images/train/0000084_01436_d_0000004.jpg,24,10,13,3,4.455249786376953,4.754945755004883,0.2996959686279297
images/train/0000084_01436_d_0000004.jpg,25,10,13,3,5.9683966636657715,6.549484729766846,0.5810880661010742
images/train/0000084_01436_d_0000004.jpg,26,3,6,3,1.1982579231262207,1.5077528953552246,0.3094949722290039
images/train/0000084_01436_d_0000004.jpg,27,10,12,2,4.550474166870117,4.651158332824707,0.10068416595458984
images/train/0000084_01436_d_0000004.jpg,28,4,5,1,0.8305962681770325,0.9628777503967285,0.13228148221969604
images/train/0000084_01436_d_0000004.jpg,29,7,11,4,2.6160852909088135,2.6270363330841064,0.010951042175292969
images/train/0000084_01436_d_0000004.jpg,30,4,6,2,0.9482946395874023,0.9513809084892273,0.003086268901824951
images/train/0000084_01436_d_0000004.jpg,31,5,13,8,1.0506178140640259,1.1345583200454712,0.08394050598144531
images/train/0000084_01436_d_0000004.jpg,32,5,10,5,2.1336865425109863,2.163933753967285,0.030247211456298828
images/train/0000084_01436_d_0000004.jpg,33,3,8,5,0.9280877709388733,0.9579974412918091,0.02990967035293579
images/train/0000084_01436_d_0000004.jpg,34,3,7,4,1.6622591018676758,1.8512762784957886,0.1890171766281128
images/train/0000084_01436_d_0000004.jpg,35,3,6,3,1.3426084518432617,1.3580642938613892,0.015455842018127441
images/train/0000084_01436_d_0000004.jpg,36,4,11,7,1.2154061794281006,1.4316329956054688,0.21622681617736816
images/train/0000084_01436_d_0000004.jpg,37,1,2,1,0.15932966768741608,0.16216504573822021,0.002835378050804138
images/train/0000084_01436_d_0000004.jpg,38,6,10,4,0.9485202431678772,1.0905250310897827,0.14200478792190552
images/train/0000084_01436_d_0000004.jpg,39,0,1,1,0.0,0.0,0.0
images/train/0000084_01436_d_0000004.jpg,40,2,2,0,0.44084426760673523,0.44084426760673523,0.0
images/train/0000084_01436_d_0000004.jpg,41,3,7,4,0.8777738213539124,0.9340100288391113,0.056236207485198975
images/train/0000084_01436_d_0000004.jpg,42,6,10,4,1.696078896522522,1.6968722343444824,0.0007933378219604492
images/train/0000084_01436_d_0000004.jpg,43,4,7,3,1.0829622745513916,1.083959698677063,0.0009974241256713867
images/train/0000084_01436_d_0000004.jpg,44,5,7,2,1.2316341400146484,1.231828212738037,0.00019407272338867188
images/train/0000084_01436_d_0000004.jpg,45,1,3,2,0.4896416664123535,0.6222534775733948,0.13261181116104126
images/train/0000084_01436_d_0000004.jpg,46,6,8,2,1.3412902355194092,1.3412971496582031,6.9141387939453125e-06
images/train/0000084_01436_d_0000004.jpg,48,10,13,3,4.94997501373291,5.478207111358643,0.5282320976257324
images/train/0000084_01436_d_0000004.jpg,49,8,8,0,2.102172613143921,2.276329517364502,0.17415690422058105
