epoch,branch,area_bin,stage,gt_observations,mean,p50,p90,zero_fraction,batches
6,topk10_topk210,medium,after_conflict,59390,9.813739686815962,10,10,0.00020205421788179828,1618
6,topk10_topk210,large,raw,2767,324.1232381640766,264,519,0.0,1618
6,topk10_topk210,large,expanded,2767,324.1232381640766,264,519,0.0,1618
6,topk10_topk210,large,before_conflict,2767,10.0,10,10,0.0,1618
6,topk10_topk210,large,after_conflict,2767,9.956631731116733,10,10,0.0,1618
7,topk10_topk210,small,raw,475979,4.154128648532813,2,11,0.16698215677582415,1618
7,topk10_topk210,small,expanded,475979,5.877624853197305,5,11,0.0,1618
7,topk10_topk210,small,before_conflict,475979,4.202275730651983,3,10,0.029152546645965473,1618
7,topk10_topk210,small,after_conflict,475979,3.614056502492757,3,10,0.10116412698879572,1618
7,topk10_topk210,medium,raw,60247,50.486663236343716,38,98,1.6598336846647966e-05,1618
7,topk10_topk210,medium,expanded,60247,50.4880077016283,38,98,0.0,1618
7,topk10_topk210,medium,before_conflict,60247,9.999917008315768,10,10,0.0,1618
7,topk10_topk210,medium,after_conflict,60247,9.821468288877455,10,10,0.00016598336846647966,1618
7,topk10_topk210,large,raw,2677,324.2413149047441,263,497,0.0,1618
7,topk10_topk210,large,expanded,2677,324.2413149047441,263,497,0.0,1618
7,topk10_topk210,large,before_conflict,2677,10.0,10,10,0.0,1618
7,topk10_topk210,large,after_conflict,2677,9.964886066492342,10,10,0.0,1618
8,topk10_topk210,small,raw,478053,4.125176497166632,2,11,0.1679750989952997,1618
8,topk10_topk210,small,expanded,478053,5.859800064009639,5,11,0.0,1618
8,topk10_topk210,small,before_conflict,478053,4.188029360761255,3,10,0.028570053947993213,1618
8,topk10_topk210,small,after_conflict,478053,3.597433757344897,3,10,0.10307643713144776,1618
8,topk10_topk210,medium,raw,59910,50.82804206309464,38,99,0.0,1618
8,topk10_topk210,medium,expanded,59910,50.82820898013687,38,99,0.0,1618
8,topk10_topk210,medium,before_conflict,59910,9.999933233183109,10,10,0.0,1618
8,topk10_topk210,medium,after_conflict,59910,9.838524453346686,10,10,0.00015022533800701052,1618
8,topk10_topk210,large,raw,2672,322.3985778443114,264,512,0.0,1618
8,topk10_topk210,large,expanded,2672,322.3985778443114,264,512,0.0,1618
8,topk10_topk210,large,before_conflict,2672,10.0,10,10,0.0,1618
8,topk10_topk210,large,after_conflict,2672,9.979790419161677,10,10,0.00037425149700598805,1618
9,topk10_topk210,small,raw,477400,4.093583996648513,2,11,0.17036237955592795,1618
9,topk10_topk210,small,expanded,477400,5.8448868873062425,5,11,0.0,1618
9,topk10_topk210,small,before_conflict,477400,4.145919564306661,3,10,0.029750733137829912,1618
9,topk10_topk210,small,after_conflict,477400,3.5638290741516547,3,9,0.10319229157938835,1618
9,topk10_topk210,medium,raw,58738,50.69854268105826,38,98,0.0,1618
9,topk10_topk210,medium,expanded,58738,50.69854268105826,38,98,0.0,1618
9,topk10_topk210,medium,before_conflict,58738,9.999965950492015,10,10,0.0,1618
9,topk10_topk210,medium,after_conflict,58738,9.836068643808098,10,10,0.00023834655589226737,1618
9,topk10_topk210,large,raw,2485,325.784708249497,260,512,0.0,1618
9,topk10_topk210,large,expanded,2485,325.784708249497,260,512,0.0,1618
9,topk10_topk210,large,before_conflict,2485,10.0,10,10,0.0,1618
9,topk10_topk210,large,after_conflict,2485,9.967404426559357,10,10,0.0,1618
10,topk10_topk210,small,raw,474087,4.1711394744002686,2,11,0.1683172076011365,1618
10,topk10_topk210,small,expanded,474087,5.896672973525956,5,11,0.0,1618
10,topk10_topk210,small,before_conflict,474087,4.199244020612251,3,10,0.028534846979562822,1618
10,topk10_topk210,small,after_conflict,474087,3.612784151432121,3,10,0.10078529890083465,1618
10,topk10_topk210,medium,raw,59725,50.75412306404353,38,98,0.0,1618
10,topk10_topk210,medium,expanded,59725,50.75393888656342,38,98,0.0,1618
10,topk10_topk210,medium,before_conflict,59725,9.999815822519883,10,10,0.0,1618
10,topk10_topk210,medium,after_conflict,59725,9.841707827542905,10,10,0.00020092088740058603,1618
10,topk10_topk210,large,raw,2773,312.06382978723406,258,479,0.0,1618
10,topk10_topk210,large,expanded,2773,312.06382978723406,258,479,0.0,1618
10,topk10_topk210,large,before_conflict,2773,10.0,10,10,0.0,1618
10,topk10_topk210,large,after_conflict,2773,9.967904796249549,10,10,0.0003606202668589975,1618
11,topk10_topk210,small,raw,482113,4.107887569926553,2,11,0.16961791115360922,1618
11,topk10_topk210,small,expanded,482113,5.855247628667968,5,11,0.0,1618
11,topk10_topk210,small,before_conflict,482113,4.161657121878066,3,10,0.02815522501986049,1618
11,topk10_topk210,small,after_conflict,482113,3.577642585866799,3,10,0.10170852061653596,1618
11,topk10_topk210,medium,raw,59860,50.636418309388574,38,98,0.0,1618
11,topk10_topk210,medium,expanded,59860,50.636602071500164,38,98,0.0,1618
11,topk10_topk210,medium,before_conflict,59860,10.0,10,10,0.0,1618
11,topk10_topk210,medium,after_conflict,59860,9.8574507183428,10,10,0.0001837621115937187,1618
11,topk10_topk210,large,raw,2547,317.16411464468,260,491,0.0,1618
11,topk10_topk210,large,expanded,2547,317.16411464468,260,491,0.0,1618
11,topk10_topk210,large,before_conflict,2547,10.0,10,10,0.0,1618
11,topk10_topk210,large,after_conflict,2547,9.957597173144876,10,10,0.0,1618
12,topk10_topk210,small,raw,474623,4.117120324973716,2,11,0.16952191528855534,1618
12,topk10_topk210,small,expanded,474623,5.854591960355903,5,11,0.0,1618
12,topk10_topk210,small,before_conflict,474623,4.166928277812074,3,10,0.02774412533737303,1618
12,topk10_topk210,small,after_conflict,474623,3.5915221133404827,3,10,0.09964750970770485,1618
12,topk10_topk210,medium,raw,58396,50.66554216042195,38,98,0.0,1618
12,topk10_topk210,medium,expanded,58396,50.665987396397014,38,98,0.0,1618
12,topk10_topk210,medium,before_conflict,58396,9.999914377697102,10,10,0.0,1618
12,topk10_topk210,medium,after_conflict,58396,9.851530926775807,10,10,0.00023974244811288446,1618
12,topk10_topk210,large,raw,2632,320.1534954407295,264,488,0.0,1618
12,topk10_topk210,large,expanded,2632,320.1534954407295,264,488,0.0,1618
12,topk10_topk210,large,before_conflict,2632,10.0,10,10,0.0,1618
12,topk10_topk210,large,after_conflict,2632,9.976823708206688,10,10,0.0,1618
13,topk10_topk210,small,raw,474343,4.1340759745584945,2,11,0.16865011183890138,1618
13,topk10_topk210,small,expanded,474343,5.866166466038289,5,11,0.0,1618
13,topk10_topk210,small,before_conflict,474343,4.178613366277146,3,10,0.027454816451386446,1618
13,topk10_topk210,small,after_conflict,474343,3.6009238040827,3,10,0.09988974223294114,1618
13,topk10_topk210,medium,raw,60219,50.524319566914095,38,99,0.0,1618
13,topk10_topk210,medium,expanded,60219,50.524668294060014,38,99,0.0,1618
13,topk10_topk210,medium,before_conflict,60219,9.99993357578173,10,10,0.0,1618
13,topk10_topk210,medium,after_conflict,60219,9.861023929324631,10,10,0.00011624238197246717,1618
13,topk10_topk210,large,raw,2739,322.8583424607521,264,518,0.0,1618
13,topk10_topk210,large,expanded,2739,322.8583424607521,264,518,0.0,1618
13,topk10_topk210,large,before_conflict,2739,10.0,10,10,0.0,1618
13,topk10_topk210,large,after_conflict,2739,9.982475355969331,10,10,0.0,1618
14,topk10_topk210,small,raw,486954,4.086850092616551,2,11,0.1721250877906332,1618
14,topk10_topk210,small,expanded,486954,5.847605728672524,5,11,0.0,1618
14,topk10_topk210,small,before_conflict,486954,4.137702945247395,3,10,0.02828193217429162,1618
14,topk10_topk210,small,after_conflict,486954,3.5642031896236603,3,10,0.10155990093520127,1618
14,topk10_topk210,medium,raw,59926,50.66870807329039,38,98,0.0,1618
14,topk10_topk210,medium,expanded,59926,50.669025130994896,38,98,0.0,1618
14,topk10_topk210,medium,before_conflict,59926,9.999883189266763,10,10,0.0,1618
14,topk10_topk210,medium,after_conflict,59926,9.861545906618163,10,10,0.0001501852284484197,1618
14,topk10_topk210,large,raw,2548,317.29552590266877,264,502,0.0,1618
14,topk10_topk210,large,expanded,2548,317.29552590266877,264,502,0.0,1618
14,topk10_topk210,large,before_conflict,2548,10.0,10,10,0.0,1618
14,topk10_topk210,large,after_conflict,2548,9.94662480376766,10,10,0.0,1618
15,topk10_topk210,small,raw,470757,4.158472417829156,2,11,0.16614941466616534,1618
15,topk10_topk210,small,expanded,470757,5.874676319205025,5,11,0.0,1618
15,topk10_topk210,small,before_conflict,470757,4.186888352164705,3,10,0.026461635196077807,1618
15,topk10_topk210,small,after_conflict,470757,3.6093674655926518,3,10,0.09756413606170487,1618
15,topk10_topk210,medium,raw,59178,51.004342830105784,38,99,0.0,1618
15,topk10_topk210,medium,expanded,59178,51.004342830105784,38,99,0.0,1618
15,topk10_topk210,medium,before_conflict,59178,9.999983101828382,10,10,0.0,1618
15,topk10_topk210,medium,after_conflict,59178,9.871100746899186,10,10,0.0001013890297069857,1618
15,topk10_topk210,large,raw,2662,323.5202854996243,264,497,0.0,1618
15,topk10_topk210,large,expanded,2662,323.5202854996243,264,497,0.0,1618
15,topk10_topk210,large,before_conflict,2662,10.0,10,10,0.0,1618
15,topk10_topk210,large,after_conflict,2662,9.968444778362134,10,10,0.0,1618
16,topk10_topk210,small,raw,479481,4.073982076453499,2,11,0.16971058290109514,1618
16,topk10_topk210,small,expanded,479481,5.816899939726496,5,11,0.0,1618
16,topk10_topk210,small,before_conflict,479481,4.164367305482386,3,10,0.026576652672368667,1618
16,topk10_topk210,small,after_conflict,479481,3.583912605504702,3,10,0.097407405090087,1618
16,topk10_topk210,medium,raw,59552,50.49427391187533,38,96,0.0,1618
16,topk10_topk210,medium,expanded,59552,50.494458624395484,38,96,0.0,1618
16,topk10_topk210,medium,before_conflict,59552,10.0,10,10,0.0,1618
16,topk10_topk210,medium,after_conflict,59552,9.877434846856529,10,10,6.716818914562064e-05,1618
16,topk10_topk210,large,raw,2676,321.82847533632287,260,503,0.0,1618
16,topk10_topk210,large,expanded,2676,321.82847533632287,260,503,0.0,1618
16,topk10_topk210,large,before_conflict,2676,10.0,10,10,0.0,1618
16,topk10_topk210,large,after_conflict,2676,9.979446935724962,10,10,0.0,1618
17,topk10_topk210,small,raw,471569,4.1435951048521,2,11,0.167935127203018,1618
17,topk10_topk210,small,expanded,471569,5.873155360085162,5,11,0.0,1618
17,topk10_topk210,small,before_conflict,471569,4.267494258528444,3,10,0.02447573949941578,1618
17,topk10_topk210,small,after_conflict,471569,3.6643099949318128,3,10,0.0938844580538585,1618
17,topk10_topk210,medium,raw,60878,51.06606655934821,38,99,0.0,1618
17,topk10_topk210,medium,expanded,60878,51.06629652748119,38,99,0.0,1618
17,topk10_topk210,medium,before_conflict,60878,9.999983573704787,10,10,0.0,1618
17,topk10_topk210,medium,after_conflict,60878,9.862051972798055,10,10,0.0002628207234140412,1618
17,topk10_topk210,large,raw,2755,325.0450090744102,268,505,0.0,1618
17,topk10_topk210,large,expanded,2755,325.0450090744102,268,505,0.0,1618
17,topk10_topk210,large,before_conflict,2755,10.0,10,10,0.0,1618
17,topk10_topk210,large,after_conflict,2755,9.95426497277677,10,10,0.0003629764065335753,1618
18,topk10_topk210,small,raw,479750,4.127383011985409,2,11,0.1685440333507035,1618
18,topk10_topk210,small,expanded,479750,5.859322563835331,5,11,0.0,1618
18,topk10_topk210,small,before_conflict,479750,4.307860343929129,3,10,0.023628973423658155,1618
18,topk10_topk210,small,after_conflict,479750,3.70474622199062,3,10,0.08964877540385617,1618
18,topk10_topk210,medium,raw,60026,50.68855162762803,38,98,0.0,1618
18,topk10_topk210,medium,expanded,60026,50.68855162762803,38,98,0.0,1618
18,topk10_topk210,medium,before_conflict,60026,9.999983340552427,10,10,0.0,1618
18,topk10_topk210,medium,after_conflict,60026,9.8791523673075,10,10,0.00016659447572718488,1618
18,topk10_topk210,large,raw,2649,322.43639109097774,265,509,0.0,1618
18,topk10_topk210,large,expanded,2649,322.43639109097774,265,509,0.0,1618
18,topk10_topk210,large,before_conflict,2649,10.0,10,10,0.0,1618
18,topk10_topk210,large,after_conflict,2649,9.973952434881086,10,10,0.0,1618
19,topk10_topk210,small,raw,470622,4.159161705147656,2,11,0.16718087977187637,1618
19,topk10_topk210,small,expanded,470622,5.886613885453719,5,11,0.0,1618
19,topk10_topk210,small,before_conflict,470622,4.351942748107823,3,10,0.02327557997713664,1618
19,topk10_topk210,small,after_conflict,470622,3.7501370526664712,3,10,0.0879134422105214,1618
19,topk10_topk210,medium,raw,59570,50.425717643108946,38,98,0.0,1618
19,topk10_topk210,medium,expanded,59570,50.425868725868725,38,98,0.0,1618
19,topk10_topk210,medium,before_conflict,59570,9.999932852106765,10,10,0.0,1618
19,topk10_topk210,medium,after_conflict,59570,9.878143360752057,10,10,0.00011750881316098707,1618
19,topk10_topk210,large,raw,2636,313.31183611532623,263,481,0.0,1618
19,topk10_topk210,large,expanded,2636,313.31183611532623,263,481,0.0,1618
19,topk10_topk210,large,before_conflict,2636,10.0,10,10,0.0,1618
19,topk10_topk210,large,after_conflict,2636,9.973065250379364,10,10,0.0,1618
20,topk10_topk210,small,raw,480583,4.104046543469078,2,11,0.16909253968617283,1618
20,topk10_topk210,small,expanded,480583,5.844817648564348,5,11,0.0,1618
20,topk10_topk210,small,before_conflict,480583,4.324946991466614,3,10,0.02416231951608775,1618
20,topk10_topk210,small,after_conflict,480583,3.7157660591406687,3,10,0.08944760842559973,1618
20,topk10_topk210,medium,raw,59668,50.566266675605014,38,98,0.0,1618
20,topk10_topk210,medium,expanded,59668,50.566266675605014,38,98,0.0,1618
20,topk10_topk210,medium,before_conflict,59668,9.999932962391902,10,10,0.0,1618
20,topk10_topk210,medium,after_conflict,59668,9.879131192599049,10,10,0.0002346316283435007,1618
20,topk10_topk210,large,raw,2702,320.3523316062176,263,494,0.0,1618
20,topk10_topk210,large,expanded,2702,320.3523316062176,263,494,0.0,1618
20,topk10_topk210,large,before_conflict,2702,10.0,10,10,0.0,1618
20,topk10_topk210,large,after_conflict,2702,9.957068837897854,10,10,0.0003700962250185048,1618
21,topk10_topk210,small,raw,474719,4.123279245195579,2,11,0.16744431969228113,1618
21,topk10_topk210,small,expanded,474719,5.854499187940656,5,11,0.0,1618
21,topk10_topk210,small,before_conflict,474719,4.336489586471155,3,10,0.02370876244683697,1618
21,topk10_topk210,small,after_conflict,474719,3.7333917538585983,3,10,0.0875802316738955,1618
21,topk10_topk210,medium,raw,59787,50.814909595731514,38,99,0.0,1618
21,topk10_topk210,medium,expanded,59787,50.81509358221687,38,99,0.0,1618
21,topk10_topk210,medium,before_conflict,59787,9.999866191647014,10,10,0.0,1618
21,topk10_topk210,medium,after_conflict,59787,9.88266680047502,10,10,0.00025089066184956596,1618
21,topk10_topk210,large,raw,2577,312.89677920062087,260,476,0.0,1618
21,topk10_topk210,large,expanded,2577,312.89677920062087,260,476,0.0,1618
21,topk10_topk210,large,before_conflict,2577,10.0,10,10,0.0,1618
21,topk10_topk210,large,after_conflict,2577,9.961195188203337,10,10,0.0,1618
22,topk10_topk210,small,raw,478222,4.104215197126021,2,11,0.16978307146053506,1618
22,topk10_topk210,small,expanded,478222,5.849091007941918,5,11,0.0,1618
22,topk10_topk210,small,before_conflict,478222,4.3329499688429225,3,10,0.024258607926862418,1618
22,topk10_topk210,small,after_conflict,478222,3.729654846493888,3,10,0.08888340561496544,1618
22,topk10_topk210,medium,raw,59463,50.91278610228209,38,99,0.0,1618
22,topk10_topk210,medium,expanded,59463,50.91293745690597,38,99,0.0,1618
