epoch,branch,area_bin,stage,gt_observations,mean,p50,p90,zero_fraction,batches
6,topk10_topk210,medium,after_conflict,58828,9.822142517168695,10,10,0.00023798191337458352,1618
6,topk10_topk210,large,raw,2614,320.1453710788064,261,500,0.0,1618
6,topk10_topk210,large,expanded,2614,320.1453710788064,261,500,0.0,1618
6,topk10_topk210,large,before_conflict,2614,10.0,10,10,0.0,1618
6,topk10_topk210,large,after_conflict,2614,9.964039785768936,10,10,0.0,1618
7,topk10_topk210,small,raw,476083,4.125627254071244,2,11,0.16898944091681492,1618
7,topk10_topk210,small,expanded,476083,5.861349806651361,5,11,0.0,1618
7,topk10_topk210,small,before_conflict,476083,4.175566025251899,3,10,0.028862614292045716,1618
7,topk10_topk210,small,after_conflict,476083,3.5833919715679827,3,10,0.10241491504632595,1618
7,topk10_topk210,medium,raw,59067,50.80599996614015,38,98,0.0,1618
7,topk10_topk210,medium,expanded,59067,50.80630470482672,38,98,0.0,1618
7,topk10_topk210,medium,before_conflict,59067,9.99991535036484,10,10,0.0,1618
7,topk10_topk210,medium,after_conflict,59067,9.819950226014527,10,10,0.00023701897844820288,1618
7,topk10_topk210,large,raw,2636,317.6069802731411,265,490,0.0,1618
7,topk10_topk210,large,expanded,2636,317.6069802731411,265,490,0.0,1618
7,topk10_topk210,large,before_conflict,2636,10.0,10,10,0.0,1618
7,topk10_topk210,large,after_conflict,2636,9.960166919575114,10,10,0.00037936267071320183,1618
8,topk10_topk210,small,raw,477160,4.169178053483108,2,11,0.1673589571632157,1618
8,topk10_topk210,small,expanded,477160,5.891080559979881,5,11,0.0,1618
8,topk10_topk210,small,before_conflict,477160,4.201754128594183,3,10,0.02799270684885573,1618
8,topk10_topk210,small,after_conflict,477160,3.6144060692430213,3,10,0.1009305054908207,1618
8,topk10_topk210,medium,raw,60411,50.84693185015974,38,99,0.0,1618
8,topk10_topk210,medium,expanded,60411,50.847891940209564,38,99,0.0,1618
8,topk10_topk210,medium,before_conflict,60411,9.999950340169837,10,10,0.0,1618
8,topk10_topk210,medium,after_conflict,60411,9.833142970651041,10,10,0.00019863932065352337,1618
8,topk10_topk210,large,raw,2643,319.68142262580403,263,490,0.0,1618
8,topk10_topk210,large,expanded,2643,319.68142262580403,263,490,0.0,1618
8,topk10_topk210,large,before_conflict,2643,10.0,10,10,0.0,1618
8,topk10_topk210,large,after_conflict,2643,9.962164207340145,10,10,0.0007567158531971245,1618
9,topk10_topk210,small,raw,481969,4.0559330579352615,2,11,0.1727911961142729,1618
9,topk10_topk210,small,expanded,481969,5.8239409588583495,5,11,0.0,1618
9,topk10_topk210,small,before_conflict,481969,4.129294622683202,3,10,0.028248704792216927,1618
9,topk10_topk210,small,after_conflict,481969,3.5449437619431956,3,9,0.10357927584554193,1618
9,topk10_topk210,medium,raw,59273,51.0013328159533,38,98,0.0,1618
9,topk10_topk210,medium,expanded,59273,51.00183894859379,38,98,0.0,1618
9,topk10_topk210,medium,before_conflict,59273,9.999966257823967,10,10,0.0,1618
9,topk10_topk210,medium,after_conflict,59273,9.852799757056333,10,10,0.0001012265280987971,1618
9,topk10_topk210,large,raw,2700,315.89185185185187,259,488,0.0,1618
9,topk10_topk210,large,expanded,2700,315.89185185185187,259,488,0.0,1618
9,topk10_topk210,large,before_conflict,2700,10.0,10,10,0.0,1618
9,topk10_topk210,large,after_conflict,2700,9.956296296296296,10,10,0.0,1618
10,topk10_topk210,small,raw,478668,4.102605563772803,2,11,0.16986721485455472,1618
10,topk10_topk210,small,expanded,478668,5.855453048877301,5,11,0.0,1618
10,topk10_topk210,small,before_conflict,478668,4.155111684925669,3,10,0.028474851044983162,1618
10,topk10_topk210,small,after_conflict,478668,3.5756641346402933,3,10,0.10016337001846791,1618
10,topk10_topk210,medium,raw,59208,50.736522091609245,38,99,0.0,1618
10,topk10_topk210,medium,expanded,59208,50.736690987704364,38,99,0.0,1618
10,topk10_topk210,medium,before_conflict,59208,9.999864883123902,10,10,0.0,1618
