epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/mixture_aux_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/mixture_aux_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7,lr/pg8,lr/pg9,lr/pg10,lr/pg11
24,14671.6,1.65456,1.33424,1.03041,0.99976,0.36581,0.29592,0.26486,0.14595,1.53066,1.20948,1.0093,0,0.0243075,0.0081025,0.0243075,0.0081025,0.0243075,0.0081025,0.0243075,0.0081025,0.0121537,0.00405125,0.048615,0.016205
25,15238.1,1.64081,1.31718,1.02458,0.99981,0.378,0.29593,0.26748,0.1471,1.52284,1.19723,1.00434,0,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.01203,0.00401,0.04812,0.01604
26,15807,1.63415,1.30426,1.02102,0.99989,0.38154,0.30044,0.27069,0.15004,1.50801,1.18769,1.00025,0,0.0238125,0.0079375,0.0238125,0.0079375,0.0238125,0.0079375,0.0238125,0.0079375,0.0119062,0.00396875,0.047625,0.015875
27,16371.5,1.6307,1.29737,1.01986,0.99985,0.38151,0.30796,0.27774,0.15229,1.51101,1.18647,0.99821,0,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855,0.0117825,0.0039275,0.04713,0.01571
28,16946.5,1.61357,1.28169,1.01618,0.99942,0.38362,0.30875,0.28019,0.15436,1.49676,1.16643,0.99691,0,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0116587,0.00388625,0.046635,0.015545
29,17517.8,1.61392,1.27829,1.01503,1.00002,0.37501,0.31061,0.27621,0.15064,1.49485,1.16936,0.99278,0,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.011535,0.003845,0.04614,0.01538
30,18097.6,1.61879,1.27188,1.01219,0.99991,0.39318,0.31336,0.28593,0.15763,1.49247,1.15851,0.99114,0,0.0228225,0.0076075,0.0228225,0.0076075,0.0228225,0.0076075,0.0228225,0.0076075,0.0114112,0.00380375,0.045645,0.015215
31,18698.6,1.60313,1.26215,1.00889,0.99971,0.39053,0.31705,0.28845,0.15809,1.49231,1.15948,0.99174,0,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.0112875,0.0037625,0.04515,0.01505
32,759.494,1.58898,1.24784,1.00892,0.99375,0.38908,0.31803,0.28888,0.1601,1.48675,1.15343,0.99007,0,0.0223275,0.0074425,0.0223275,0.0074425,0.0223275,0.0074425,0.0223275,0.0074425,0.0111638,0.00372125,0.044655,0.014885
33,1444.43,1.59383,1.24592,1.00361,1.00242,0.39902,0.31633,0.29132,0.16066,1.48078,1.14771,0.98814,0,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.01104,0.00368,0.04416,0.01472
34,2093.38,1.59009,1.2379,1.00093,1.00359,0.39822,0.31479,0.29256,0.16234,1.47032,1.14066,0.98361,0,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0109162,0.00363875,0.043665,0.014555
35,2746.08,1.58608,1.23504,1.00043,0.99978,0.40418,0.32232,0.29732,0.16537,1.46871,1.13283,0.98314,0,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195,0.0107925,0.0035975,0.04317,0.01439
36,3455.94,1.58234,1.22834,0.99824,1.00053,0.41755,0.32179,0.30136,0.16633,1.46836,1.12901,0.9824,0,0.0213375,0.0071125,0.0213375,0.0071125,0.0213375,0.0071125,0.0213375,0.0071125,0.0106687,0.00355625,0.042675,0.014225
37,4109.86,1.5796,1.22666,0.99816,0.9999,0.39372,0.32974,0.2966,0.16461,1.4633,1.12771,0.97921,0,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.010545,0.003515,0.04218,0.01406
38,4780.11,1.57833,1.22163,0.99758,0.99942,0.40085,0.32418,0.29862,0.16671,1.45884,1.12506,0.97816,0,0.0208425,0.0069475,0.0208425,0.0069475,0.0208425,0.0069475,0.0208425,0.0069475,0.0104212,0.00347375,0.041685,0.013895
