phase,assigner_call,sample_index,gt_index,area_px,area_bin,positive_count
train,1,0,19,1128.88818359375,medium,10
train,1,0,20,876.806884765625,small,10
train,1,0,21,779.0938720703125,small,10
train,1,0,22,209.9348602294922,small,5
train,1,0,23,517.583984375,small,9
train,1,0,24,455.4730224609375,small,10
train,1,0,25,315.2745361328125,small,5
train,1,0,26,236.0944061279297,small,6
train,1,0,27,207.75897216796875,small,5
train,1,0,28,47.943267822265625,small,3
train,1,0,29,36.3233528137207,small,4
train,1,0,30,43.94684982299805,small,3
train,1,0,31,63.926109313964844,small,5
train,1,0,32,21.79151153564453,small,0
train,1,0,33,75.1868667602539,small,1
train,1,0,34,8.716663360595703,small,1
train,1,0,35,50.85004806518555,small,0
train,1,0,36,49.03559112548828,small,1
train,1,0,37,61.021461486816406,small,1
train,1,0,38,20.341211318969727,small,0
train,1,0,39,20.339555740356445,small,2
train,1,0,40,17.79862403869629,small,2
train,1,0,41,17.79862403869629,small,0
train,1,0,42,7.264744281768799,small,0
train,1,0,43,10.8955717086792,small,1
train,1,0,44,10.896381378173828,small,0
train,1,0,45,10.895755767822266,small,2
train,1,0,46,9.079643249511719,small,0
train,1,0,47,7.264744281768799,small,0
train,1,0,48,5.811648368835449,small,1
train,1,0,49,7.264744281768799,small,1
train,1,0,50,14.52798080444336,small,1
train,1,0,51,18.160022735595703,small,0
train,1,0,52,15.255117416381836,small,2
train,1,0,53,31.962154388427734,small,1
train,1,0,54,27.240585327148438,small,0
train,1,0,55,34.86937713623047,small,0
train,1,0,56,17.79836654663086,small,1
train,1,0,57,10.169833183288574,small,0
train,1,0,58,8.71688461303711,small,0
train,1,0,59,10.896381378173828,small,1
train,1,0,60,5.811648368835449,small,0
train,1,0,61,14.530077934265137,small,0
train,1,0,62,8.717840194702148,small,0
train,1,0,63,232.46417236328125,small,5
train,1,0,64,117.68157958984375,small,4
train,1,0,65,58.840457916259766,small,1
train,1,0,66,151.82763671875,small,3
train,1,0,67,254.25042724609375,small,4
train,1,0,68,261.5207214355469,small,3
train,1,0,69,147.46519470214844,small,1
train,1,0,70,161.26901245117188,small,1
train,1,0,71,203.40431213378906,small,3
train,1,0,72,174.70834350585938,small,3
train,1,0,73,143.83193969726562,small,0
train,1,0,74,148.19357299804688,small,4
train,1,0,75,116.23113250732422,small,0
train,1,0,76,101.34112548828125,small,0
train,1,0,77,112.60224914550781,small,0
train,1,0,78,59.929691314697266,small,3
train,1,0,79,49.03559112548828,small,0
train,1,0,80,61.7475700378418,small,1
train,1,0,81,34.869449615478516,small,2
train,1,0,82,123.85580444335938,small,2
train,1,0,83,107.87803649902344,small,0
train,1,0,84,111.14797973632812,small,0
