epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/mixture_aux_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/mixture_aux_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7,lr/pg8,lr/pg9,lr/pg10,lr/pg11
24,17941.1,1.68261,1.33173,0.98568,0.99988,0.39022,0.29562,0.26756,0.14843,1.58229,1.22398,0.96861,0,0.0243075,0.0081025,0.0243075,0.0081025,0.0243075,0.0081025,0.0243075,0.0081025,0.0121537,0.00405125,0.048615,0.016205
25,18626.9,1.6847,1.3295,0.98464,0.99999,0.40936,0.28478,0.2627,0.14342,1.5736,1.22897,0.96479,0,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.01203,0.00401,0.04812,0.01604
26,19320.1,1.67782,1.31994,0.98285,0.99978,0.40323,0.29687,0.26864,0.14734,1.56301,1.21823,0.95841,0,0.0238125,0.0079375,0.0238125,0.0079375,0.0238125,0.0079375,0.0238125,0.0079375,0.0119062,0.00396875,0.047625,0.015875
27,19999.7,1.66913,1.30858,0.97827,0.99919,0.38897,0.3033,0.27593,0.15279,1.55013,1.19808,0.95696,0,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855,0.0117825,0.0039275,0.04713,0.01571
28,20684.7,1.66292,1.30084,0.97545,1.00042,0.39036,0.30764,0.27148,0.1515,1.55004,1.19807,0.9548,0,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0116587,0.00388625,0.046635,0.015545
29,21370.2,1.65402,1.28725,0.97271,0.99984,0.39587,0.31084,0.27857,0.15509,1.53701,1.18931,0.95089,0,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.011535,0.003845,0.04614,0.01538
30,22075.9,1.64943,1.28568,0.97212,0.99966,0.39567,0.31009,0.28531,0.15854,1.5359,1.18038,0.95102,0,0.0228225,0.0076075,0.0228225,0.0076075,0.0228225,0.0076075,0.0228225,0.0076075,0.0114112,0.00380375,0.045645,0.015215
31,22820.2,1.64138,1.27934,0.96718,0.99984,0.41549,0.31205,0.28792,0.16012,1.53782,1.17199,0.94901,0,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.0112875,0.0037625,0.04515,0.01505
32,23563.7,1.63739,1.26847,0.96628,1.00007,0.39693,0.31613,0.28714,0.16137,1.52701,1.16859,0.94468,0,0.0223275,0.0074425,0.0223275,0.0074425,0.0223275,0.0074425,0.0223275,0.0074425,0.0111638,0.00372125,0.044655,0.014885
33,24337.2,1.63695,1.26195,0.96616,0.99993,0.41878,0.31209,0.29408,0.16498,1.52161,1.158,0.94506,0,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.01104,0.00368,0.04416,0.01472
